Cell_ID,User_ID,Channel_ID,Cell_Type,Carrier_Frequency_GHz,Bandwidth_MHz,Modulation_Scheme,Transmission_Power_dBm,Interference_Level_dB,Power_Consumption_Watt,Achieved_Throughput_Mbps,Energy_Efficiency_Mbps_Watt,Network_Latency_ms,Packet_Loss_Ratio,Signal_to_Noise_Ratio_dB,Resource_Utilization,User_Traffic_Demand_Mbps,QoS_Satisfaction,User_Mobility_kmh,Handover_Count,Optimized_Power_dBm,Reward_Score,Success_Rate,Optimized_Action,Location_X,Location_Y,Location_Tag
39,1498,6,Macro,62.55020186,80,16-QAM,21.2532311,-98.87855658,10.33336941,433.6279096,41.96384472,14.96952103,0.021429075,22.05734097,70.75570928,457.9822589,83.58285553,116.2569785,9,20.58706076,0.089889808,75.58714901,Maintain_Power,444.2,570.6,downtown
29,1363,6,Femto,99.68426573,200,QPSK,32.4914252,-82.37357687,25.69818288,163.8899952,6.377493537,23.93384807,0.037760984,-0.641332263,58.91665522,181.2211678,71.88092992,116.526899,4,30.11593585,0.770059729,75.09422962,Reduce_Power,590.0,499.6,downtown
15,1946,7,Femto,37.57420111,200,256-QAM,16.98713672,-65.39148614,37.55683524,979.9375946,26.0921238,26.93801023,0.097832631,8.101408317,62.77905067,304.336366,76.06230844,39.97247223,7,14.03577511,0.251729085,76.59367415,Reduce_Power,250.0,626.0,residential
43,1629,3,Pico,98.6642063,20,256-QAM,25.4612341,-83.47910363,21.68766341,230.1671157,10.61281298,40.94277458,0.096006926,-7.823727723,92.84846922,219.7532066,93.92502746,62.25083694,3,24.84970203,0.173708394,76.9280656,Maintain_Power,434.5,343.1,residential
8,1744,3,Femto,52.5873836,20,QPSK,31.8636757,-66.61333497,29.96362806,681.0822458,22.7302997,43.23090304,0.080345423,25.2575923,52.84731889,439.1318418,92.72803728,110.8082472,9,26.99200038,0.543876534,97.71359466,Reduce_Power,751.2,623.6,residential
21,1198,9,Micro,39.22435694,100,16-QAM,29.31903298,-66.72709285,6.285680854,459.5715595,73.11404606,34.46757703,0.024546725,7.752991772,57.84214599,214.9530685,81.79935249,3.07588471,5,25.16878203,0.552671876,74.8108673,Reduce_Power,447.2,225.0,residential
39,1717,8,Femto,55.47229024,400,256-QAM,14.66109742,-59.67226887,25.78254403,559.5963763,21.70446701,15.41570715,0.07639291,24.26373395,59.63145425,182.8176633,81.71390614,109.9423253,4,13.07377209,0.470876858,82.38985268,Maintain_Power,444.2,570.6,downtown
19,1412,5,Femto,70.66362943,100,256-QAM,28.88980948,-95.02571926,15.91589905,933.3531924,58.64281932,26.89985689,0.001536345,17.08947494,53.53398476,90.76990609,96.51469626,102.9600015,9,26.07287484,0.901803174,82.09873406,Reduce_Power,275.7,332.3,hospital
23,1338,6,Macro,40.22580194,20,16-QAM,27.18131586,-71.14355544,28.23659782,536.2383032,18.99089637,7.400470767,0.005634906,2.79412476,84.28199493,177.874897,75.45629617,56.15823761,2,24.38649064,0.241615589,73.82725912,Reduce_Power,519.6,412.2,downtown
11,1658,1,Pico,46.14937033,400,256-QAM,26.73534475,-96.87514402,28.66249424,312.174225,10.89138378,12.2753643,0.083573277,18.50827327,99.06359384,336.4294231,80.7164356,62.03067724,7,26.20218492,0.602543758,73.26910379,Maintain_Power,501.3,780.0,residential
